Algorithm,N,Time_ms,Max_Depth,Comparisons,Allocations
MergeSort,5000,5,176,9,58574,127991
QuickSort,5000,5,110,18,64940,181572
TimSort,5000,3,310,0,0,0
MergeSort,5000,2,385,9,27124,95000
QuickSort,5000,2,659,75,262973,776025
TimSort,5000,0,163,0,0,0
MergeSort,5000,2,074,9,44324,160880
QuickSort,5000,10,995,54,193028,565539
TimSort,5000,0,275,0,0,0
MergeSort,5000,1,259,9,58409,127766
QuickSort,5000,1,934,16,62088,173079
TimSort,5000,0,781,0,0,0
MergeSort,5000,1,064,9,27124,95000
QuickSort,5000,0,751,75,262973,776025
TimSort,5000,0,133,0,0,0
MergeSort,5000,0,240,9,44324,160880
QuickSort,5000,0,454,54,193028,565539
TimSort,5000,0,200,0,0,0
MergeSort,5000,0,485,9,58577,128057
QuickSort,5000,0,551,15,63267,176547
TimSort,5000,1,725,0,0,0
MergeSort,5000,0,268,9,27124,95000
QuickSort,5000,0,709,75,262973,776025
TimSort,5000,0,123,0,0,0
MergeSort,5000,0,279,9,44324,160880
QuickSort,5000,0,518,54,193028,565539
TimSort,5000,0,583,0,0,0
MergeSort,5000,0,867,9,58463,127826
QuickSort,5000,0,594,18,65673,183822
TimSort,5000,1,800,0,0,0
MergeSort,5000,0,269,9,27124,95000
QuickSort,5000,0,664,75,262973,776025
TimSort,5000,0,125,0,0,0
MergeSort,5000,0,267,9,44324,160880
QuickSort,5000,0,943,54,193028,565539
TimSort,5000,0,284,0,0,0
MergeSort,5000,0,602,9,58543,127979
QuickSort,5000,0,604,18,66317,185706
TimSort,5000,1,198,0,0,0
MergeSort,5000,0,281,9,27124,95000
QuickSort,5000,1,742,75,262973,776025
TimSort,5000,0,127,0,0,0
MergeSort,5000,0,312,9,44324,160880
QuickSort,5000,0,770,54,193028,565539
TimSort,5000,0,256,0,0,0
MergeSort,10000,1,090,10,127225,276315
QuickSort,10000,1,112,19,142666,401550
TimSort,10000,2,488,0,0,0
MergeSort,10000,1,434,10,59248,210000
QuickSort,10000,1,913,106,733893,2176263
TimSort,10000,0,262,0,0,0
MergeSort,10000,0,416,10,93648,341760
QuickSort,10000,1,973,77,540693,1596279
TimSort,10000,0,532,0,0,0
MergeSort,10000,1,390,10,127097,276006
QuickSort,10000,1,329,18,139568,392127
TimSort,10000,0,898,0,0,0
MergeSort,10000,0,511,10,59248,210000
QuickSort,10000,3,892,106,733893,2176263
TimSort,10000,0,212,0,0,0
MergeSort,10000,0,438,10,93648,341760
QuickSort,10000,1,661,77,540693,1596279
TimSort,10000,0,379,0,0,0
MergeSort,10000,1,361,10,127268,276630
QuickSort,10000,1,203,18,141826,399174
TimSort,10000,0,807,0,0,0
MergeSort,10000,0,443,10,59248,210000
QuickSort,10000,2,806,106,733893,2176263
TimSort,10000,0,245,0,0,0
MergeSort,10000,0,367,10,93648,341760
QuickSort,10000,1,979,77,540693,1596279
TimSort,10000,0,096,0,0,0
MergeSort,10000,1,559,10,126951,275505
QuickSort,10000,1,728,18,138049,387603
TimSort,10000,0,860,0,0,0
MergeSort,10000,0,356,10,59248,210000
QuickSort,10000,2,614,106,733893,2176263
TimSort,10000,0,279,0,0,0
MergeSort,10000,0,469,10,93648,341760
QuickSort,10000,1,947,77,540693,1596279
TimSort,10000,0,050,0,0,0
MergeSort,10000,1,725,10,127166,276021
QuickSort,10000,1,625,18,138841,390111
TimSort,10000,0,944,0,0,0
MergeSort,10000,0,401,10,59248,210000
QuickSort,10000,2,144,106,733893,2176263
TimSort,10000,0,006,0,0,0
MergeSort,10000,0,348,10,93648,341760
QuickSort,10000,1,904,77,540693,1596279
TimSort,10000,0,019,0,0,0
MergeSort,20000,2,502,11,274074,592018
QuickSort,20000,2,275,21,303894,859152
TimSort,20000,1,478,0,0,0
MergeSort,20000,0,996,11,128496,460000
QuickSort,20000,6,963,150,2043714,6079953
TimSort,20000,0,009,0,0,0
MergeSort,20000,1,257,11,197296,723520
QuickSort,20000,4,733,108,1497487,4441623
TimSort,20000,0,033,0,0,0
MergeSort,20000,2,557,11,273982,591067
QuickSort,20000,2,230,23,312797,885594
TimSort,20000,1,491,0,0,0
MergeSort,20000,0,610,11,128496,460000
QuickSort,20000,6,476,150,2043714,6079953
TimSort,20000,0,016,0,0,0
MergeSort,20000,0,879,11,197296,723520
QuickSort,20000,8,709,108,1497487,4441623
TimSort,20000,0,054,0,0,0
MergeSort,20000,3,677,11,274642,593155
QuickSort,20000,4,340,19,297583,839892
TimSort,20000,2,513,0,0,0
MergeSort,20000,1,139,11,128496,460000
QuickSort,20000,10,445,150,2043714,6079953
TimSort,20000,0,009,0,0,0
MergeSort,20000,1,302,11,197296,723520
QuickSort,20000,6,946,108,1497487,4441623
TimSort,20000,0,038,0,0,0
MergeSort,20000,2,972,11,274182,592339
QuickSort,20000,2,450,21,300858,849549
TimSort,20000,2,644,0,0,0
MergeSort,20000,1,222,11,128496,460000
QuickSort,20000,9,341,150,2043714,6079953
TimSort,20000,0,016,0,0,0
MergeSort,20000,1,723,11,197296,723520
QuickSort,20000,4,356,108,1497487,4441623
TimSort,20000,0,075,0,0,0
MergeSort,20000,2,868,11,273471,589888
QuickSort,20000,4,238,20,305258,862962
TimSort,20000,5,075,0,0,0
MergeSort,20000,0,933,11,128496,460000
QuickSort,20000,6,600,150,2043714,6079953
TimSort,20000,0,025,0,0,0
MergeSort,20000,1,343,11,197296,723520
QuickSort,20000,6,484,108,1497487,4441623
TimSort,20000,0,020,0,0,0
MergeSort,50000,7,642,12,769483,1669952
QuickSort,50000,9,753,23,840496,2389776
TimSort,50000,5,281,0,0,0
MergeSort,50000,2,302,12,347008,1250000
QuickSort,50000,29,203,236,7924554,23638632
TimSort,50000,0,031,0,0,0
MergeSort,50000,17,188,12,579408,2091536
QuickSort,50000,18,345,169,5755588,17136843
TimSort,50000,0,047,0,0,0
MergeSort,50000,8,939,12,770266,1673138
QuickSort,50000,11,742,22,844863,2402295
TimSort,50000,3,744,0,0,0
MergeSort,50000,1,753,12,347008,1250000
QuickSort,50000,28,644,236,7924554,23638632
TimSort,50000,0,024,0,0,0
MergeSort,50000,2,696,12,579408,2091536
